Er,Vf,[1.0mm cell] Beam radius (mm),[1.5mm cell] Beam radius (mm),[2.0mm cell] Beam radius (mm),[2.5mm cell] Beam radius (mm),[3.0mm cell] Beam radius (mm),[3.5mm cell] Beam radius (mm),[4.0mm cell] Beam radius (mm),[4.5mm cell] Beam radius (mm),[5.0mm cell] Beam radius (mm),[5.5mm cell] Beam radius (mm),[6.0mm cell] Beam radius (mm),[6.5mm cell] Beam radius (mm),[7.0mm cell] Beam radius (mm),[7.5mm cell] Beam radius (mm),[8.0mm cell] Beam radius (mm),[8.5mm cell] Beam radius (mm),[9.0mm cell] Beam radius (mm),[9.5mm cell] Beam radius (mm),[10.0mm cell] Beam radius (mm)
1.100,0.101,0.039,0.058,0.077,0.097,0.116,0.135,0.155,0.174,0.194,0.213,0.232,0.252,0.271,0.290,0.310,0.329,0.348,0.367,0.386
1.200,0.196,0.074,0.112,0.149,0.187,0.225,0.262,0.299,0.337,0.374,0.411,0.449,0.486,0.524,0.561,0.599,0.636,0.673,0.711,0.748
1.300,0.286,0.108,0.162,0.216,0.271,0.326,0.380,0.435,0.489,0.543,0.597,0.651,0.706,0.761,0.815,0.869,0.923,0.978,1.032,1.086
1.400,0.370,0.140,0.210,0.279,0.350,0.421,0.491,0.561,0.631,0.700,0.770,0.840,0.911,0.982,1.052,1.122,1.192,1.263,1.333,1.403
1.500,0.449,0.169,0.254,0.338,0.424,0.510,0.594,0.678,0.763,0.848,0.932,1.017,1.102,1.188,1.272,1.357,1.441,1.526,1.610,1.695
1.600,0.524,0.197,0.295,0.393,0.493,0.592,0.690,0.788,0.887,0.985,1.083,1.182,1.281,1.380,1.478,1.576,1.675,1.773,1.872,1.970
1.700,0.595,0.222,0.334,0.445,0.557,0.669,0.780,0.891,1.002,1.113,1.224,1.335,1.447,1.559,1.670,1.782,1.893,2.004,2.116,2.227
1.800,0.662,0.247,0.370,0.493,0.616,0.740,0.863,0.986,1.109,1.233,1.356,1.479,1.603,1.726,1.849,1.972,2.095,2.219,2.342,2.465
1.900,0.725,0.269,0.403,0.538,0.672,0.806,0.941,1.075,1.210,1.344,1.479,1.614,1.747,1.881,2.015,2.150,2.284,2.419,2.553,2.688
2.000,0.786,0.290,0.435,0.580,0.724,0.868,1.013,1.158,1.303,1.447,1.592,1.737,1.881,2.025,2.170,2.315,2.460,2.605,2.750,2.895
2.100,0.843,0.309,0.463,0.618,0.772,0.925,1.080,1.234,1.389,1.543,1.698,1.852,2.006,2.159,2.314,2.469,2.623,2.778,2.932,3.087
2.200,0.898,0.326,0.490,0.653,0.816,0.978,1.142,1.305,1.468,1.632,1.795,1.958,2.121,2.284,2.447,2.610,2.773,2.936,3.099,3.262
2.300,0.950,0.343,0.514,0.686,0.856,1.027,1.199,1.370,1.542,1.713,1.885,2.056,2.227,2.397,2.569,2.740,2.912,3.084,3.255,3.427
